chunk_id,chunk_english,chunk_portuguese,chunk_spanish,chunk_scale,tag
1,Let's get started (0),Vamos começar,Empecemos,B1,meeting_fluency
2,Can we align on this? (0),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
3,Let me clarify (0),Deixe-me esclarecer,Déjame aclarar,B2,explanations
4,The data shows that (0),Os dados mostram que,Los datos muestran que,B1,presentation
5,What's your take on this? (0),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
6,We should consider (0),Devemos considerar,Deberíamos considerar,B1,explanations
7,This might be a concern (0),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
8,From a customer perspective (0),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
9,Let's move forward (0),Vamos seguir em frente,Avancemos,B1,meeting_fluency
10,I suggest that (0),Eu sugiro que,Sugiero que,B1,presentation
11,Let's get started (1),Vamos começar,Empecemos,B1,meeting_fluency
12,Can we align on this? (1),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
13,Let me clarify (1),Deixe-me esclarecer,Déjame aclarar,B2,explanations
14,The data shows that (1),Os dados mostram que,Los datos muestran que,B1,presentation
15,What's your take on this? (1),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
16,We should consider (1),Devemos considerar,Deberíamos considerar,B1,explanations
17,This might be a concern (1),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
18,From a customer perspective (1),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
19,Let's move forward (1),Vamos seguir em frente,Avancemos,B1,meeting_fluency
20,I suggest that (1),Eu sugiro que,Sugiero que,B1,presentation
21,Let's get started (2),Vamos começar,Empecemos,B1,meeting_fluency
22,Can we align on this? (2),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
23,Let me clarify (2),Deixe-me esclarecer,Déjame aclarar,B2,explanations
24,The data shows that (2),Os dados mostram que,Los datos muestran que,B1,presentation
25,What's your take on this? (2),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
26,We should consider (2),Devemos considerar,Deberíamos considerar,B1,explanations
27,This might be a concern (2),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
28,From a customer perspective (2),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
29,Let's move forward (2),Vamos seguir em frente,Avancemos,B1,meeting_fluency
30,I suggest that (2),Eu sugiro que,Sugiero que,B1,presentation
31,Let's get started (3),Vamos começar,Empecemos,B1,meeting_fluency
32,Can we align on this? (3),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
33,Let me clarify (3),Deixe-me esclarecer,Déjame aclarar,B2,explanations
34,The data shows that (3),Os dados mostram que,Los datos muestran que,B1,presentation
35,What's your take on this? (3),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
36,We should consider (3),Devemos considerar,Deberíamos considerar,B1,explanations
37,This might be a concern (3),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
38,From a customer perspective (3),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
39,Let's move forward (3),Vamos seguir em frente,Avancemos,B1,meeting_fluency
40,I suggest that (3),Eu sugiro que,Sugiero que,B1,presentation
41,Let's get started (4),Vamos começar,Empecemos,B1,meeting_fluency
42,Can we align on this? (4),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
43,Let me clarify (4),Deixe-me esclarecer,Déjame aclarar,B2,explanations
44,The data shows that (4),Os dados mostram que,Los datos muestran que,B1,presentation
45,What's your take on this? (4),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
46,We should consider (4),Devemos considerar,Deberíamos considerar,B1,explanations
47,This might be a concern (4),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
48,From a customer perspective (4),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
49,Let's move forward (4),Vamos seguir em frente,Avancemos,B1,meeting_fluency
50,I suggest that (4),Eu sugiro que,Sugiero que,B1,presentation
51,Let's get started (5),Vamos começar,Empecemos,B1,meeting_fluency
